ElapsedTime,Epoch,BestGene0_CurEpoch,BestGene1_CurEpoch,MaxDistanceTravelled_CurEpoch,AvgDistanceTravelled_CurEpoch,BestMaxDistance_Run,BestBotGene0_Run,BestBotGene1_Run,GenerationOfBestBot
5.008049,1,343,19,8.516471,3.72113,8.516471,343,19,1
10.02152,2,351,226,8.537569,5.687536,8.537569,351,226,2
15.11854,3,351,226,8.82852,6.533566,8.82852,351,226,3
20.14127,4,351,281,8.523989,5.393824,8.82852,351,226,3
25.15379,5,351,19,8.774911,6.919135,8.82852,351,226,3
30.17277,6,351,19,8.743401,6.959095,8.82852,351,226,3
35.18805,7,351,19,8.809975,7.637331,8.82852,351,226,3
40.20568,8,340,19,8.478562,7.523647,8.82852,351,226,3
45.21373,9,340,19,8.444644,7.731068,8.82852,351,226,3
50.23235,10,340,19,8.53444,7.958638,8.82852,351,226,3
55.23853,11,340,19,8.500478,8.126348,8.82852,351,226,3
60.24207,12,340,19,8.53444,8.319889,8.82852,351,226,3
65.26286,13,340,19,7.184875,7.184875,8.82852,351,226,3
70.27995,14,340,19,0.4698417,0.4698415,8.82852,351,226,3
75.30303,15,340,19,8.568402,8.458548,8.82852,351,226,3
80.30698,16,340,19,8.404787,8.404786,8.82852,351,226,3
85.31561,17,340,19,8.500478,8.500481,8.82852,351,226,3
90.31579,18,340,19,8.500478,8.500481,8.82852,351,226,3
95.33848,19,340,19,8.53444,8.534446,8.82852,351,226,3
100.3596,20,340,19,8.43858,8.438577,8.82852,351,226,3
105.38,21,340,19,1.476383,1.285097,8.82852,351,226,3
110.4306,22,340,19,8.506163,8.416307,8.82852,351,226,3
115.4463,23,340,19,8.53444,8.534446,8.82852,351,226,3
120.4543,24,340,19,7.985179,7.985177,8.82852,351,226,3
125.4918,25,340,19,8.568402,8.568398,8.82852,351,226,3
130.502,26,340,19,8.43858,8.438577,8.82852,351,226,3
135.5046,27,340,19,8.444644,8.307442,8.82852,351,226,3
140.5376,28,340,19,8.53444,8.534446,8.82852,351,226,3
145.5448,29,340,19,1.52195,1.250069,8.82852,351,226,3
150.5595,30,340,19,8.500478,8.500481,8.82852,351,226,3
155.5612,31,340,19,8.53444,8.402121,8.82852,351,226,3
160.5886,32,340,19,7.181492,7.181489,8.82852,351,226,3
165.611,33,340,19,1.357726,1.357726,8.82852,351,226,3
170.6145,34,340,19,8.500478,8.500481,8.82852,351,226,3
175.6239,35,340,19,8.53444,8.534446,8.82852,351,226,3
180.6583,36,340,19,8.477284,8.318667,8.82852,351,226,3
185.6767,37,341,31,8.507282,0.7285658,8.82852,351,226,3
190.6789,38,340,19,8.500478,8.222288,8.82852,351,226,3
195.6979,39,340,19,8.53444,8.413237,8.82852,351,226,3
200.7149,40,340,19,8.53444,8.534446,8.82852,351,226,3
205.7299,41,340,19,8.53444,8.534446,8.82852,351,226,3
210.7489,42,340,19,8.53444,8.534446,8.82852,351,226,3
215.7551,43,340,19,1.168421,1.168422,8.82852,351,226,3
220.756,44,165,77,1.640659,1.048837,8.82852,351,226,3
225.7607,45,340,19,8.53444,8.406226,8.82852,351,226,3
230.7677,46,340,19,8.444644,8.338766,8.82852,351,226,3
235.7821,47,340,19,8.477284,8.20503,8.82852,351,226,3
240.7856,48,340,19,8.444644,8.444642,8.82852,351,226,3
245.7921,49,340,19,8.444644,8.307049,8.82852,351,226,3
250.8026,50,340,19,8.53444,8.534446,8.82852,351,226,3
255.816,51,340,19,7.269838,7.269837,8.82852,351,226,3
260.8291,52,340,19,1.499326,1.307145,8.82852,351,226,3
265.8394,53,340,19,1.281254,1.264454,8.82852,351,226,3
270.8593,54,340,19,8.53444,8.485813,8.82852,351,226,3
275.8639,55,340,19,8.53444,8.396528,8.82852,351,226,3
280.8751,56,340,19,8.445934,8.28834,8.82852,351,226,3
285.8865,57,340,19,8.53444,8.534446,8.82852,351,226,3
290.9148,58,340,19,8.478562,8.346345,8.82852,351,226,3
295.9345,59,340,19,8.53444,8.42844,8.82852,351,226,3
300.9505,60,340,19,8.43858,8.438577,8.82852,351,226,3
305.9593,61,340,19,8.500478,8.500481,8.82852,351,226,3
310.9794,62,311,14,7.804009,1.96035,8.82852,351,226,3
316.0094,63,340,14,8.563837,1.41728,8.82852,351,226,3
321.0145,64,340,19,8.500478,8.465852,8.82852,351,226,3
326.0235,65,340,19,8.53444,8.534446,8.82852,351,226,3
331.0395,66,340,19,8.500478,8.500481,8.82852,351,226,3
336.0548,67,340,19,8.53444,8.534446,8.82852,351,226,3
341.061,68,340,19,8.53444,8.534446,8.82852,351,226,3
346.0616,69,340,19,8.444644,8.444642,8.82852,351,226,3
351.0735,70,340,19,8.444644,8.444642,8.82852,351,226,3
356.0742,71,340,19,8.500478,8.500481,8.82852,351,226,3
361.0756,72,340,19,8.500478,8.500481,8.82852,351,226,3
366.0981,73,340,19,6.476361,6.230944,8.82852,351,226,3
371.1216,74,340,19,8.568402,8.461451,8.82852,351,226,3
376.1475,75,340,19,6.491943,6.491943,8.82852,351,226,3
381.1638,76,340,19,8.53444,8.415484,8.82852,351,226,3
386.1691,77,340,19,8.500478,8.500481,8.82852,351,226,3
391.1956,78,340,19,6.51215,6.512148,8.82852,351,226,3
396.2207,79,340,19,6.514033,6.473692,8.82852,351,226,3
401.2239,80,340,19,8.500478,8.369214,8.82852,351,226,3
406.2336,81,340,19,8.444644,8.301408,8.82852,351,226,3
411.2362,82,340,19,8.500478,8.500481,8.82852,351,226,3
416.2695,83,340,19,8.568402,8.563747,8.82852,351,226,3
421.2831,84,340,19,8.53444,8.534446,8.82852,351,226,3
426.3036,85,340,19,8.53444,8.423052,8.82852,351,226,3
431.3318,86,340,19,8.53444,8.534446,8.82852,351,226,3
436.3437,87,340,19,8.53444,8.534446,8.82852,351,226,3
441.3885,88,340,19,8.568402,8.503567,8.82852,351,226,3
446.403,89,340,19,8.43858,8.438577,8.82852,351,226,3
451.4184,90,340,19,8.500478,8.500481,8.82852,351,226,3
456.4407,91,340,19,8.568402,8.568398,8.82852,351,226,3
461.452,92,340,19,8.500478,8.500481,8.82852,351,226,3
466.4647,93,340,19,8.53444,8.522831,8.82852,351,226,3
471.4743,94,340,19,8.500478,8.339031,8.82852,351,226,3
476.4823,95,340,19,8.53444,8.380607,8.82852,351,226,3
481.4983,96,340,19,8.500478,8.500481,8.82852,351,226,3
486.5061,97,340,19,8.53444,8.534446,8.82852,351,226,3
491.5144,98,340,19,8.445934,8.445931,8.82852,351,226,3
496.5263,99,340,19,8.53444,8.534446,8.82852,351,226,3
501.5357,100,118,33,2.933434,1.311266,8.82852,351,226,3
506.5374,101,340,19,8.500478,8.203332,8.82852,351,226,3
511.5633,102,340,19,1.200653,1.200653,8.82852,351,226,3
516.5862,103,340,19,8.53444,8.233791,8.82852,351,226,3
521.6,104,340,19,8.500478,8.500481,8.82852,351,226,3
526.6175,105,340,19,8.53444,8.534446,8.82852,351,226,3
531.6252,106,340,19,8.53444,8.349385,8.82852,351,226,3
536.6317,107,340,19,8.444644,8.444642,8.82852,351,226,3
541.6322,108,340,19,8.444644,8.401055,8.82852,351,226,3
546.6621,109,340,19,8.568402,8.568398,8.82852,351,226,3
551.6673,110,340,19,8.500478,8.403408,8.82852,351,226,3
556.6721,111,340,19,8.444644,8.444642,8.82852,351,226,3
561.6802,112,340,19,8.53444,8.403531,8.82852,351,226,3
566.697,113,340,19,8.444644,8.348625,8.82852,351,226,3
571.7081,114,340,19,8.53444,8.437498,8.82852,351,226,3
576.7239,115,340,19,8.53444,8.534446,8.82852,351,226,3
581.7414,116,340,19,8.477284,8.429592,8.82852,351,226,3
586.7587,117,340,19,8.478562,8.478567,8.82852,351,226,3
591.7663,118,340,19,8.500478,8.500481,8.82852,351,226,3
596.7841,119,340,19,8.53444,8.388699,8.82852,351,226,3
601.8147,120,340,19,8.479854,8.433827,8.82852,351,226,3
606.8281,121,340,19,1.098567,1.092646,8.82852,351,226,3
611.848,122,340,19,8.53444,8.427039,8.82852,351,226,3
616.8607,123,340,19,8.53444,8.534446,8.82852,351,226,3
621.8643,124,340,19,8.445934,8.332926,8.82852,351,226,3
626.8661,125,340,19,8.444644,8.444642,8.82852,351,226,3
631.9039,126,340,19,8.509935,8.363519,8.82852,351,226,3
636.907,127,340,19,8.500478,8.500481,8.82852,351,226,3
641.9254,128,340,19,8.53444,8.300791,8.82852,351,226,3
646.9354,129,340,19,1.476939,1.263779,8.82852,351,226,3
651.9373,130,340,19,8.444644,8.295004,8.82852,351,226,3
656.9374,131,340,19,8.444644,8.18853,8.82852,351,226,3
661.9535,132,340,19,8.477284,8.358725,8.82852,351,226,3
666.9533,133,340,19,8.444644,8.444642,8.82852,351,226,3
671.9552,134,340,19,8.444644,8.444642,8.82852,351,226,3
676.9561,135,340,19,8.444644,8.432191,8.82852,351,226,3
681.9689,136,340,19,8.477284,8.477287,8.82852,351,226,3
686.9717,137,340,19,8.444644,8.337689,8.82852,351,226,3
691.991,138,340,19,7.318256,7.318258,8.82852,351,226,3
697.0017,139,340,19,8.53444,8.534446,8.82852,351,226,3
702.0139,140,340,19,8.444644,8.333449,8.82852,351,226,3
707.0152,141,340,19,8.500478,8.500481,8.82852,351,226,3
712.0149,142,340,19,8.444644,8.444642,8.82852,351,226,3
717.019,143,340,19,8.477284,8.477287,8.82852,351,226,3
722.027,144,340,19,8.444644,8.444642,8.82852,351,226,3
727.0379,145,340,19,8.53444,8.534446,8.82852,351,226,3
732.0519,146,340,19,8.477284,8.477287,8.82852,351,226,3
737.0523,147,340,19,8.445934,8.3587,8.82852,351,226,3
742.0574,148,340,19,8.444644,8.362204,8.82852,351,226,3
747.0795,149,340,19,8.477284,8.477287,8.82852,351,226,3
752.0994,150,340,19,8.53444,8.534446,8.82852,351,226,3
757.1151,151,340,19,8.53444,8.232738,8.82852,351,226,3
762.1155,152,338,20,8.447541,8.444699,8.82852,351,226,3
767.1193,153,340,20,8.49524,8.444688,8.82852,351,226,3
772.1295,154,340,19,8.53444,8.534428,8.82852,351,226,3
777.1403,155,340,19,7.289032,7.289032,8.82852,351,226,3
782.1559,156,340,19,8.53444,8.526817,8.82852,351,226,3
787.1583,157,340,19,8.500478,8.500481,8.82852,351,226,3
792.1594,158,340,19,8.500478,8.500481,8.82852,351,226,3
797.1647,159,340,19,8.500478,8.500481,8.82852,351,226,3
802.1766,160,340,19,8.53444,8.534446,8.82852,351,226,3
807.1863,161,340,19,7.269294,7.269289,8.82852,351,226,3
812.1858,162,340,19,8.444644,8.444642,8.82852,351,226,3
817.1879,163,340,19,8.444644,8.444642,8.82852,351,226,3
822.1959,164,340,19,8.444644,8.444642,8.82852,351,226,3
827.2019,165,340,19,8.477284,8.477287,8.82852,351,226,3
832.2111,166,340,19,8.444644,8.444642,8.82852,351,226,3
837.226,167,340,19,8.477284,8.477287,8.82852,351,226,3
842.2337,168,340,19,8.477284,8.477287,8.82852,351,226,3
847.2379,169,340,19,8.444644,8.318199,8.82852,351,226,3
852.2374,170,340,19,8.444644,8.350177,8.82852,351,226,3
857.2464,171,340,19,8.444644,8.444642,8.82852,351,226,3
862.2595,172,340,19,8.477284,8.477287,8.82852,351,226,3
867.259,173,340,19,8.444644,8.340778,8.82852,351,226,3
872.265,174,340,19,8.477284,8.477287,8.82852,351,226,3
877.2648,175,340,19,8.444644,8.444642,8.82852,351,226,3
882.2778,176,340,19,7.155984,7.077831,8.82852,351,226,3
887.2866,177,340,19,8.477284,8.389211,8.82852,351,226,3
892.2923,178,340,19,8.444644,8.444642,8.82852,351,226,3
897.2945,179,340,19,8.477284,8.416054,8.82852,351,226,3
902.3167,180,349,23,8.766343,8.483068,8.82852,351,226,3
907.3206,181,349,19,8.660048,8.422772,8.82852,351,226,3
912.3367,182,340,19,8.53444,8.309104,8.82852,351,226,3
917.3464,183,340,19,8.500478,8.500481,8.82852,351,226,3
922.3588,184,340,19,8.477284,8.477287,8.82852,351,226,3
927.365,185,340,19,8.444644,8.444642,8.82852,351,226,3
932.3672,186,340,19,8.477284,8.387404,8.82852,351,226,3
937.3674,187,340,19,8.444644,8.444642,8.82852,351,226,3
942.3676,188,340,19,8.444644,8.444642,8.82852,351,226,3
947.3928,189,340,19,8.477284,8.38839,8.82852,351,226,3
952.4036,190,340,19,1.254897,1.252353,8.82852,351,226,3
957.4096,191,340,19,8.444644,8.444642,8.82852,351,226,3
962.4142,192,340,19,8.444644,8.349464,8.82852,351,226,3
967.4153,193,340,19,8.477284,8.477287,8.82852,351,226,3
972.4245,194,340,19,8.444644,8.444642,8.82852,351,226,3
977.4362,195,340,19,8.477284,8.447742,8.82852,351,226,3
982.4481,196,340,19,8.477284,8.477287,8.82852,351,226,3
987.4484,197,340,19,8.444644,8.444642,8.82852,351,226,3
992.4545,198,340,19,8.444644,8.444642,8.82852,351,226,3
997.4606,199,340,19,8.444644,8.444642,8.82852,351,226,3
1002.501,200,340,19,8.542598,8.542601,8.82852,351,226,3
1007.503,201,340,19,8.500478,8.500481,8.82852,351,226,3
1012.511,202,340,19,8.444644,8.444642,8.82852,351,226,3
1017.526,203,340,19,8.477284,8.477287,8.82852,351,226,3
1022.53,204,276,248,6.824058,0.5932359,8.82852,351,226,3
1027.557,205,340,19,8.568402,8.533453,8.82852,351,226,3
1032.566,206,340,19,8.500478,8.500481,8.82852,351,226,3
1037.582,207,340,19,8.477284,8.477287,8.82852,351,226,3
1042.589,208,340,19,8.444644,8.302258,8.82852,351,226,3
1047.592,209,340,19,8.444644,8.134283,8.82852,351,226,3
1052.618,210,340,19,8.477284,8.382295,8.82852,351,226,3
1057.634,211,340,19,8.53444,8.434643,8.82852,351,226,3
1062.647,212,340,19,8.53444,8.534446,8.82852,351,226,3
1067.652,213,340,19,8.444644,8.28433,8.82852,351,226,3
1072.658,214,340,19,8.444644,8.410057,8.82852,351,226,3
1077.675,215,340,19,8.477284,8.33883,8.82852,351,226,3
1082.681,216,340,19,8.444644,8.444642,8.82852,351,226,3
1087.684,217,340,19,8.444644,8.444642,8.82852,351,226,3
1092.704,218,340,19,8.477284,8.418175,8.82852,351,226,3
1097.71,219,340,19,8.53444,8.534446,8.82852,351,226,3
1102.718,220,340,19,8.444644,8.29588,8.82852,351,226,3
1107.723,221,340,19,8.444644,8.444642,8.82852,351,226,3
1112.736,222,340,19,8.477284,8.326365,8.82852,351,226,3
1117.75,223,340,19,8.444644,8.285739,8.82852,351,226,3
1122.758,224,340,19,8.477284,8.477287,8.82852,351,226,3
1127.77,225,340,19,8.444644,8.401717,8.82852,351,226,3
1132.774,226,340,19,8.444644,8.444642,8.82852,351,226,3
1137.781,227,340,19,8.444644,8.246161,8.82852,351,226,3
1142.795,228,340,19,7.365674,7.365671,8.82852,351,226,3
1147.807,229,340,19,8.53444,8.534446,8.82852,351,226,3
1152.823,230,340,19,8.500478,8.500481,8.82852,351,226,3
1157.848,231,340,19,8.568402,8.446651,8.82852,351,226,3
1162.865,232,340,19,6.951534,6.951537,8.82852,351,226,3
1167.871,233,267,255,5.35453,1.931196,8.82852,351,226,3
1172.878,234,340,93,8.469051,8.251065,8.82852,351,226,3
1177.897,235,340,19,8.53444,8.473064,8.82852,351,226,3
1182.91,236,340,19,8.444644,8.327302,8.82852,351,226,3
1187.925,237,340,19,8.477284,8.17384,8.82852,351,226,3
1192.943,238,340,19,8.477284,8.477287,8.82852,351,226,3
1197.949,239,340,19,8.444644,8.444642,8.82852,351,226,3
1202.957,240,340,19,8.444644,8.30126,8.82852,351,226,3
1207.969,241,340,19,8.53444,8.534446,8.82852,351,226,3
1212.985,242,340,19,7.269294,7.150922,8.82852,351,226,3
1218.004,243,340,19,8.477284,8.320125,8.82852,351,226,3
1223.02,244,340,19,8.500478,8.500481,8.82852,351,226,3
1228.02,245,340,19,8.500478,8.500481,8.82852,351,226,3
1233.028,246,340,19,8.477284,8.477287,8.82852,351,226,3
1238.045,247,340,19,8.477284,8.348627,8.82852,351,226,3
1243.057,248,340,19,8.444644,8.311004,8.82852,351,226,3
1248.071,249,340,19,8.477284,8.317738,8.82852,351,226,3
1253.086,250,340,19,8.444644,8.444642,8.82852,351,226,3
1258.096,251,340,19,8.477284,8.386312,8.82852,351,226,3
1263.108,252,340,19,8.444644,8.444642,8.82852,351,226,3
1268.115,253,340,19,8.477284,8.477287,8.82852,351,226,3
1273.125,254,340,19,7.241945,7.205,8.82852,351,226,3
1278.133,255,340,19,8.444644,8.339265,8.82852,351,226,3
1283.136,256,340,19,8.444644,8.297409,8.82852,351,226,3
1288.154,257,340,19,8.477284,8.477287,8.82852,351,226,3
1293.159,258,340,19,8.444644,8.444642,8.82852,351,226,3
1298.172,259,340,19,8.477284,8.477287,8.82852,351,226,3
1303.179,260,340,19,8.444644,8.444642,8.82852,351,226,3
1308.186,261,340,19,8.53444,8.534446,8.82852,351,226,3
1313.197,262,340,19,8.500478,8.500481,8.82852,351,226,3
1318.213,263,340,19,8.53444,8.534446,8.82852,351,226,3

